"name","market_location","city","state","zip_code","county","hours"
"Lyons Main Street Farmers Market","Corner of 3rd and Main St","Lyons","NE","68038","BURT","June - September Wed. 4 - 7 p.m. and Fri. 9 a.m. - 1 p.m."
"Market23","2620 23rd st","Columbus","NE","68601","PLATTE","10 a.m. - 6 p.m. (Tues.- Fri.) 8 a.m. - 4 p.m. (Sat.)"
"Morrill Farmers Market","80849 Webster St","Morrill","NE","69358","SCOTTS_BLUFF","Mid-July - October Tuesdays 3 - 6 p.m. and Saturdays 11 a.m. - 2 p.m."
"Nebraska City Farmers Market","1st Corso and S 8th St","Nebraska City","NE","68410","OTOE","May - August 3:45 - 6 p.m."
"Neligh Farmers Market","501 M St (South Side of Courthouse)","Neligh","NE","68756","ANTELOPE","June - October 8:30 - 11 a.m."
"Nemaha County Farmers Market (Auburn)","Nemaha County Fairgrounds","Auburn","NE","68305","NEMAHA","June - October 7:30 - 11:00 a.m."
"Norfolk Farmers Market - Riverpoint Square","3rd and Norfolk AVenue","Norfolk","NE","68701","MADISON","Riverpoint Square - Tues. 4:30-6:30 pm and Sat. 9 am to 12 pm"
"North Bend (NB) Farmers Market","East Hwy 30 (next to LeRoy's Steak House)","North Bend","NE","68649","DODGE","Wed. 4:30-6:30 pm and Sat. 9:30-11:30 am through mid-August"
"Ogallala Farmers Market","Rendezvous Square 116 East 2nd St","Ogallala","NE","69153","KEITH","July - October 8 a.m. - 12 p.m."
"Omaha Farmers Market in Aksarben Village","Baxter Arena - Lot 26 2425 S 67th St","Omaha","NE","68182","DOUGLAS","May - Oct. 9 a.m. - 1 p.m."
"Omaha Farmers Market in the Old Market","Parking Garage (top level) on 11th and Jackson Street","Omaha","NE","68131","DOUGLAS","May - Oct. 8 a.m. - 12:30 pm (1st hour for seniors & people with underlying health issues)"
"Ord Farmers Market","M St and S 16th St","Ord","NE","68862","VALLEY","June - September 5:00 - 7:00 p.m."
"Orleans Farmers Market","North side of City Park","Orleans","NE","68966","HARLAN","June - September 5 - 7 p.m."
"Papillion Farmers Market","City Park Washington St and Lincoln Rd","Papillion","NE","68046","SARPY","May - August 5 - 8 p.m."
"Pierce Farmers Market","St. Joseph Catholic Church parking lot in Pierce","Pierce","NE","68767","PIERCE","June - October 4:30 p.m. - sellout"
"Plainview Farmers Market","Chilvers Park - Maple St. & Hwy 20","Plainview","NE","68769","PIERCE","June - October 9 a.m. - 12:30 p.m."
"Plattsmouth Downtown Farmers Market","4th and Main St","Plattsmouth","NE","68048","CASS","June - October"
"Ralston Green Market","5306 S. 73rd Street Ralston NE 68127
(behind Dairy Queen on 72nd)","Ralston","NE","68127","Douglas","9:00 AM - 1:00 PM"
"Ravenna Farmers Market","Genoa St","Ravenna","NE","68869","BUFFALO","June - October 4 - 7 p.m. (1st Fri. of each month is 5 - 9 p.m.)"
"Schuyler Farmers Market","175 Higgins Drive","Schuyler","NE","68661","COLFAX","June - October 5:00-7:00 p.m."
"Scottsbluff Winter Farmers Market","Legacy of the Plains Museum","Gering","NE","69341","SCOTTS_BLUFF","11- a.m. to 2 pm through March"
"Seward Farmers Market","529 Seward St","Seward","NE","68434","SEWARD","May - October Wednesdays 5 - 7 p.m. and Saturdays 8 a.m. - 12 p.m."
"Sherman County Farmers Market (Loup City)","Sherman County Courthouse Square","Loup City","NE","68853","SHERMAN","June - October 8 a.m. - 12 p.m."
"Sunday Farmers Market at College View (Lincoln)","4801 Prescott Ave (Seventh-Day Adventist Church parking lot)","Lincoln","NE","68501","LANCASTER","April 27 - October 26, 10 am - 2 pm"
"Syracuse Farmers Market","1780 Poplar Street","Syracuse","NE","68446","OTOE","May - September 8:00 a.m. - 11:30 a.m."
"The Local Farmers Market (Cairo)","Alexandria St and E Medina St","Cairo","NE","68824","HALL","May - October Fridays 5 - 7 p.m. and Saturdays 9 - 11 a.m."
"The Original Farmers  Market of North Platte","Parkade Plaza Corner of 6th and Jeffers St.","North Platte","NE","69103","LINCOLN","Saturdays June - October 8:00 a.m. - 1:00 p.m.  Tuesdays July - August 3 - 6 p.m"
"Thursday Evening Downtown Market (Hastings)","Corner of 2nd St. & St. Joseph Avenue","Hastings","NE","68901","ADAMS","June - Sept 5:00 - 7:30 p.m."
"Valentine Area Farmers Market - IGA","Henderson's IGA parking lot 710 US-20","Valentine","NE","69201","CHERRY","August - October 9 a.m. - 1 p.m."
"Valparaiso Farmers Market","N Pine and C St","Valparaiso","NE","68065","SAUNDERS","June - October 9 - 11 a.m."
"Wahoo Farmers Market","951 N Chestnut","Wahoo","NE","68066","SAUNDERS","June - October 8 a.m. - 1:00 p.m."
"Wayne Farmers Market","Wayne County Courthouse 510 North Pearl St","Wayne","NE","68787","WAYNE","June - October Wednesdays 4 - 6 p.m. and Saturdays 9 a.m. - 12 p.m."
"West Point Farmers Market","465 S Lincoln St","West Point","NE","68788","CUMING","Starting at 8 a.m."
"Wilber Farmers Market","SE corner of 3rd and S Harris","Wilber","NE","68465","SALINE","June - October 4 - 6:30 p.m."
"Wymore Farmers Market","McCandles Park Hwy 77 & G St","Wymore","NE","68466","GAGE","June - September 4:00-6:00pm"
"York Farmers Market","Kilgore Memorial Library - 520 N. Nebraska Ave.","York","NE","68467","YORK","June through September 24th 5 - 7 p.m."
